model,accuracy,weighted_accuracy,loss,weighted_loss,precision,recall,f1_score,weighted_precision,weighted_recall,weighted_f1_score
final_033.h5,0.438921875,0.44886383,1.04,1.0339344,0.29290086467569737,0.3465650134441165,0.310894555032678,0.37632348299505375,0.4440625971975583,0.39892269063077634
final_034.h5,0.49165625,0.5088698,1.029,1.0216308,0.3281351316987224,0.38776723759274323,0.3540136779217631,0.42161567499993363,0.4976293260113118,0.45461078464686017
final_035.h5,0.522078125,0.5383667,1.028,1.0191942,0.34802662234310167,0.4113666263764726,0.3770267873680755,0.4471478354852613,0.5286149749836474,0.4844442001703982
final_036.h5,0.520921875,0.53604656,1.013,1.002646,0.3478370935951555,0.4103756998908488,0.3760736815513057,0.4468026732289402,0.5274835898310567,0.48321993447837985
final_037.h5,0.380296875,0.38785863,1.049,1.0440012,0.2533498464056599,0.2995338503985194,0.2741974983693882,0.32552649972404796,0.3851164099228188,0.3524180317805541
final_038.h5,0.3785,0.38770872,1.053,1.0468515,0.25229281937002584,0.29820904447889,0.27327953728555654,0.32415271316220456,0.3832521997693195,0.3511611739208991
final_039.h5,0.529546875,0.54762524,1.025,1.0169004,0.35307421822938273,0.41734725148944757,0.3824863462660432,0.45365621358429903,0.5361301039841405,0.491401370556391
final_040.h5,0.50715625,0.5189245,1.01,0.99960136,0.34064252175495885,0.3993267380722106,0.36511844935483523,0.43746826340895123,0.5136453372464892,0.46924568256642696
final_041.h5,0.52228125,0.53788775,1.018,1.0081254,0.3485898776891447,0.4114658747737263,0.3770969266713469,0.447784393482258,0.5288505929219618,0.4845288511333662
final_042.h5,0.417171875,0.42824665,1.036,1.0288658,0.2780800331919556,0.3290656981936475,0.300010366305955,0.3572663358873319,0.4222183867283122,0.385208510582416
final_043.h5,0.467921875,0.48224342,1.031,1.0234339,0.3141667009636456,0.3695292264045514,0.33017503291995914,0.4037168917596592,0.4733695813118631,0.4236433421403935
final_044.h5,0.3831875,0.3895015,1.047,1.0418981,0.255498183053545,0.3019463580537279,0.2767642516252922,0.3282376561189868,0.3879767959520361,0.355586388908296
final_045.h5,0.405828125,0.41331366,1.044,1.0380164,0.2703182600616664,0.3200016183489898,0.2926860037745734,0.3472540023708,0.41079460761097064,0.3758687851219038
final_046.h5,0.478328125,0.48978648,1.035,1.027927,0.3203166675238476,0.3775443060619899,0.3411852933130928,0.41160647600965644,0.4839969713474231,0.43793292776492543
final_047.h5,0.226453125,0.23307951,1.179,1.1749086,0.4002982616343502,0.342952625939041,0.20951796808493028,0.47170437019565403,0.21976952365618208,0.19854845591366221
final_048.h5,0.514953125,0.5289682,1.022,1.0143335,0.34363595707149724,0.40569328742722527,0.3717956403414809,0.44143002039701457,0.5214299547147916,0.477722151278402
