Model,Nash_Probability
models/RESNET_36p_4x512/RESNET_36p_4x512_001.h5,0.22800967885366866
models/RESNET_36p_4x512/RESNET_36p_4x512_003.h5,0.17498291211577077
models/RESNET_36p_4x512/RESNET_36p_4x512_005.h5,0.06804153890062548
models/RESNET_36p_4x512/RESNET_36p_4x512_008.h5,0.0036140144774842267
models/RESNET_36p_4x512/RESNET_36p_4x512_010.h5,1.2774803026785512e-11
models/RESNET_36p_4x512/RESNET_36p_4x512_012.h5,0.0725996727609046
models/RESNET_36p_4x512/RESNET_36p_4x512_015.h5,0.0005048629342898111
models/RESNET_36p_4x512/RESNET_36p_4x512_017.h5,0.21051558139474158
models/RESNET_36p_4x512/RESNET_36p_4x512_019.h5,0.12236452808072641
models/RESNET_36p_4x512/RESNET_36p_4x512_022.h5,0.11936721046901375
